,TP_FAIXA_ETARIA,TP_COR_RACA,TP_ENSINO,SG_UF_ESC,TP_PRESENCA_MT,NU_NOTA_MT
243,7,1,,,1.0,664.8
244,3,3,1.0,SP,1.0,407.5
245,7,3,1.0,,0.0,
246,3,1,1.0,SC,1.0,370.6
247,3,3,1.0,,1.0,481.7
248,4,3,1.0,,1.0,534.6
249,3,1,1.0,MT,1.0,442.2
250,7,2,1.0,,1.0,522.2
251,4,3,,,1.0,413.0
252,12,1,3.0,,0.0,
253,10,1,1.0,,0.0,
254,11,1,1.0,,1.0,535.4
255,1,1,1.0,SC,0.0,
256,2,2,1.0,PB,1.0,591.4
257,11,3,1.0,,1.0,509.9
258,2,1,2.0,MS,1.0,546.9
259,11,3,,,1.0,541.3
260,3,3,1.0,,1.0,729.2
261,3,1,,,1.0,400.3
262,6,1,1.0,,0.0,
263,1,1,,,1.0,432.3
264,3,1,1.0,SP,1.0,598.2
265,2,1,1.0,AL,1.0,542.2
266,3,1,1.0,MG,1.0,756.8
267,2,3,1.0,MG,0.0,
268,11,3,,,1.0,642.8
269,4,3,1.0,,1.0,573.2
270,5,1,,,1.0,553.9
271,8,3,1.0,,1.0,670.3
272,2,1,1.0,DF,1.0,443.9
273,6,3,1.0,,1.0,535.1
274,3,3,1.0,AL,1.0,462.9
275,11,3,,,0.0,
276,2,3,1.0,PB,1.0,571.8
277,10,2,,,0.0,
278,5,2,1.0,,1.0,662.3
279,3,1,,,1.0,631.0
280,13,2,1.0,,1.0,605.2
281,6,3,1.0,,1.0,798.2
282,10,1,,,0.0,
283,6,3,,,1.0,659.8
284,4,3,3.0,,0.0,
285,4,3,,,1.0,382.0
286,6,3,1.0,,1.0,537.6
287,12,3,1.0,,1.0,434.8
288,4,2,1.0,,1.0,473.1
289,3,1,1.0,MG,1.0,545.6
290,3,3,1.0,,1.0,459.8
291,4,3,,,1.0,449.6
292,12,2,1.0,,0.0,
293,3,3,1.0,BA,1.0,677.3
294,4,2,1.0,BA,1.0,487.7
295,13,3,1.0,,0.0,
296,3,3,1.0,,1.0,614.0
297,9,3,1.0,,1.0,534.4
298,2,3,1.0,,1.0,635.8
299,7,3,1.0,,0.0,
300,2,1,,,1.0,685.7
301,3,1,1.0,,1.0,521.6
302,3,4,1.0,,0.0,
303,3,3,1.0,,1.0,386.8
304,9,3,1.0,,1.0,498.0
305,6,3,1.0,,1.0,448.7
306,3,2,1.0,BA,1.0,396.9
307,3,2,1.0,PA,0.0,
308,9,3,,,1.0,401.7
309,13,2,1.0,,1.0,423.6
310,2,3,,,1.0,485.0
311,5,1,1.0,,1.0,503.2
312,11,1,,,1.0,443.9
313,2,2,,,1.0,555.3
314,11,1,1.0,,0.0,
315,14,3,1.0,,0.0,
316,8,3,,,1.0,414.6
317,9,1,,,0.0,
318,13,2,1.0,,1.0,437.5
319,11,3,,,1.0,427.4
320,4,3,1.0,,1.0,469.4
321,7,3,3.0,,1.0,404.0
322,8,3,1.0,,1.0,662.6
323,12,0,,,0.0,
324,3,2,1.0,PI,1.0,563.8
325,1,3,1.0,RN,1.0,574.4
326,2,3,1.0,AM,1.0,410.8
327,2,3,1.0,RJ,1.0,430.3
328,5,1,1.0,,1.0,759.2
329,3,1,,,0.0,
330,2,3,,,1.0,440.6
331,12,1,,,1.0,496.6
332,7,1,1.0,,1.0,492.4
333,12,3,,,1.0,518.5
334,11,3,3.0,GO,0.0,
335,15,1,1.0,,1.0,404.7
336,8,2,3.0,,1.0,545.8
